NDB_No,Seq,Amount,Msre_Desc,Gm_Wgt,Num_Data_Pts,Std_Dev
"01097","2",1.0000000000000000e+00,"cup",2.5600000000000000e+02,,
"01097","3",5.0000000000000000e-01,"cup",1.2800000000000000e+02,,
"01102","1",1.0000000000000000e+00,"cup",2.5000000000000000e+02,,
"01102","2",1.0000000000000000e+00,"fl oz",3.1199999999999999e+01,,
"01102","3",1.0000000000000000e+00,"quart",1.0000000000000000e+03,,
"01103","1",1.0000000000000000e+00,"cup",2.5000000000000000e+02,,
"01103","2",1.0000000000000000e+00,"fl oz",3.1199999999999999e+01,,
"01103","3",1.0000000000000000e+00,"quart",1.0000000000000000e+03,,
"01104","1",1.0000000000000000e+00,"cup",2.5000000000000000e+02,,
"01104","2",1.0000000000000000e+00,"quart",1.0000000000000000e+03,,
"01105","1",1.0000000000000000e+00,"cup",2.5000000000000000e+02,,
"01105","2",1.0000000000000000e+00,"fl oz",3.1199999999999999e+01,,
"01106","1",1.0000000000000000e+00,"fl oz",3.0500000000000000e+01,,
"01106","2",1.0000000000000000e+00,"cup",2.4400000000000000e+02,,
"01106","3",1.0000000000000000e+00,"quart",9.7600000000000000e+02,,
"01107","1",1.0000000000000000e+00,"fl oz",3.0800000000000001e+01,,
"01107","2",1.0000000000000000e+00,"cup",2.4600000000000000e+02,,
"01108","1",1.0000000000000000e+00,"cup",2.4400000000000000e+02,,
"01108","2",1.0000000000000000e+00,"quart",9.7600000000000000e+02,,
"01109","1",1.0000000000000000e+00,"cup",2.4500000000000000e+02,,
"01109","2",1.0000000000000000e+00,"quart",9.8000000000000000e+02,,
"01110","1",1.0000000000000000e+00,"fl oz",2.8399999999999999e+01,,
"01110","2",1.0000000000000000e+00,"container (10.6 oz)",3.0000000000000000e+02,,
"01111","1",1.0000000000000000e+00,"fl oz",2.8399999999999999e+01,,
"01111","2",1.0000000000000000e+00,"container (11 oz)",3.1300000000000000e+02,,
"01112","1",1.0000000000000000e+00,"cup",2.4600000000000000e+02,,
"01112","2",1.0000000000000000e+00,"quart",9.8400000000000000e+02,,
"01113","1",1.0000000000000000e+00,"cup",5.7000000000000000e+01,,
"01113","2",1.0000000000000000e+00,"tbsp",2.8999999999999999e+00,,
"01114","1",1.0000000000000000e+00,"cup",2.4600000000000000e+02,,
"01114","2",1.0000000000000000e+00,"quart",9.8400000000000000e+02,,
"01115","1",1.0000000000000000e+00,"cup",1.4500000000000000e+02,,
"01115","2",1.0000000000000000e+00,"tbsp",7.5000000000000000e+00,,
"01116","1",1.0000000000000000e+00,"container (6 oz)",1.7000000000000000e+02,,
"01116","2",1.0000000000000000e+00,"container (8 oz)",2.2700000000000000e+02,,
"01116","3",5.0000000000000000e-01,"container (4 oz)",1.1300000000000000e+02,,
"01116","4",1.0000000000000000e+00,"cup (8 fl oz)",2.4500000000000000e+02,,
"01117","1",1.0000000000000000e+00,"container (6 oz)",1.7000000000000000e+02,,
"01117","2",1.0000000000000000e+00,"container (8 oz)",2.2700000000000000e+02,,
"01117","3",5.0000000000000000e-01,"container (4 oz)",1.1300000000000000e+02,,
"01117","4",1.0000000000000000e+00,"cup (8 fl oz)",2.4500000000000000e+02,,
"01118","1",1.0000000000000000e+00,"container (6 oz)",1.7000000000000000e+02,,
"01118","2",1.0000000000000000e+00,"container (8 oz)",2.2700000000000000e+02,,
"01118","3",1.0000000000000000e+00,"cup (8 fl oz)",2.4500000000000000e+02,,
"01119","1",1.0000000000000000e+00,"container (6 oz)",1.7000000000000000e+02,,
"01119","2",1.0000000000000000e+00,"container (8 oz)",2.2700000000000000e+02,,
"01119","3",1.0000000000000000e+00,"cup (8 fl oz)",2.4500000000000000e+02,,
"01120","1",1.0000000000000000e+00,"container (6 oz)",1.7000000000000000e+02,,
"01120","2",1.0000000000000000e+00,"container (4.4 oz)",1.2500000000000000e+02,,
"01120","3",1.0000000000000000e+00,"container (5 oz)",1.4200000000000000e+02,,
"01120","4",1.0000000000000000e+00,"cup (8 fl oz)",2.4500000000000000e+02,,
"01120","5",1.0000000000000000e+00,"container (8 oz)",2.2700000000000000e+02,,
"01120","6",5.0000000000000000e-01,"container (4 oz)",1.1300000000000000e+02,,
"01121","1",1.0000000000000000e+00,"container (6 oz)",1.7000000000000000e+02,,
"01121","2",1.0000000000000000e+00,"cup (8 fl oz)",2.4500000000000000e+02,,
"01121","3",1.0000000000000000e+00,"container (8 oz)",2.2700000000000000e+02,,
"01121","5",1.0000000000000000e+00,"container, Dannon Sprinkl'ins (4.1 oz)",1.1600000000000000e+02,,
"01121","6",5.0000000000000000e-01,"container (4 oz)",1.1300000000000000e+02,,
"01122","1",1.0000000000000000e+00,"container (6 oz)",1.7000000000000000e+02,,
"01122","2",5.0000000000000000e-01,"container (4 oz)",1.1300000000000000e+02,,
"01122","3",1.0000000000000000e+00,"container (8 oz)",2.2700000000000000e+02,,
"01123","1",1.0000000000000000e+00,"large",5.0000000000000000e+01,,
"01123","2",1.0000000000000000e+00,"extra large",5.6000000000000000e+01,,
"01123","3",1.0000000000000000e+00,"jumbo",6.3000000000000000e+01,,
"01123","5",1.0000000000000000e+00,"cup (4.86 large eggs)",2.4300000000000000e+02,,
"01123","6",1.0000000000000000e+00,"medium",4.4000000000000000e+01,,
"01123","7",1.0000000000000000e+00,"small",3.8000000000000000e+01,,
"01124","1",1.0000000000000000e+00,"large",3.3000000000000000e+01,,
"01124","2",1.0000000000000000e+00,"cup",2.4300000000000000e+02,,
"01125","1",1.0000000000000000e+00,"large",1.7000000000000000e+01,,
"01125","2",1.0000000000000000e+00,"cup",2.4300000000000000e+02,,
